Treatment,LD,Reading Decoding,Reading Fluency,Reading Comprehension
Intervention,Normal,83.99125358,9.666296856,42.95940319
Intervention,Dyslexia,98.92658188,6.809098431,64.32276376
Intervention,Dyslexia,89.33021635,5.963587712,44.31439712
Intervention,Dyslexia,52.64826644,6.594217239,21.29793057
Control,Normal,93.88801104,8.967431801,45.83302638
Control,Normal,93.28353445,11.96411072,54.17115449
Intervention,Normal,77.68224416,8.74854077,41.56222649
Intervention,Normal,87.29406226,11.61870126,41.59448404
Control,Normal,107.0069625,8.850603986,51.88012409
Intervention,Normal,113.8501215,12.1250105,53.54999305
Intervention,Dyslexia,101.6519378,10.18438509,57.37376639
Control,Dyslexia,94.70223268,10.40054302,46.04404373
Intervention,Normal,99.21344879,7.465234269,61.968509
Intervention,Dyslexia,86.30170616,7.392652082,40.88487358
Intervention,Normal,86.17557336,9.919570588,46.1572372
Control,Dyslexia,42.41193566,3.5905409,18.2365301
Control,Dyslexia,78.48672774,5.936731859,42.95057557
Control,Normal,100.8718718,13.7877417,50.52152219
Intervention,Normal,82.75421942,10.96765361,57.37761186
Intervention,Dyslexia,85.95126615,11.19414811,44.67560238
Intervention,Dyslexia,90.627118,11.1633648,44.16599239
Intervention,Dyslexia,74.24712576,4.277317158,36.02223358
Intervention,Dyslexia,95.92993697,15.61525042,49.4539956
Intervention,Normal,79.35032062,10.75711711,42.50031362
Control,Dyslexia,80.10507629,9.470192318,43.7620752
Control,Dyslexia,79.7112942,6.533407349,34.55202342
Control,Dyslexia,86.59835963,5.730492098,31.86542505
Control,Dyslexia,81.26311769,6.620866332,40.55123774
Control,Normal,113.5437713,11.26939967,54.51168052
Control,Normal,93.06372481,11.70699149,48.59186595
Control,Dyslexia,102.1563952,9.732633315,54.22843349
Control,Dyslexia,66.352992,5.026178908,37.98904953
Intervention,Dyslexia,71.05663425,11.89841589,40.52726977
Control,Normal,95.3037692,10.58517256,46.32614706
Intervention,Normal,108.6358637,13.61736962,61.47141739
Intervention,Normal,111.6774923,10.73004515,67.27378009
Control,Dyslexia,81.11294436,7.357703499,41.02729821
Control,Normal,80.13939109,7.573393059,41.23615123
Control,Dyslexia,111.3845909,15.08723722,51.99177761
Intervention,Dyslexia,83.11257454,11.52540842,43.55070141
Control,Normal,110.432866,9.24220529,68.08109442
Intervention,Dyslexia,104.580176,11.58301452,49.3028151
Intervention,Normal,89.43522359,10.50412393,51.30842627
Intervention,Normal,102.4855269,13.24085403,59.45145604
Intervention,Dyslexia,111.6509633,12.76185537,53.34728763
Control,Normal,92.39684969,9.246659066,41.7437951
Intervention,Normal,92.39400455,12.97618229,50.4217486
Intervention,Dyslexia,88.23513849,9.064699214,45.70826185
Control,Dyslexia,73.88222865,10.27440285,40.70203441
Control,Normal,102.7685581,7.831563773,53.39808093
Control,Dyslexia,84.2780289,15.86148539,56.03564133
Intervention,Normal,104.4307177,9.44380154,60.48223376
Intervention,Dyslexia,98.11361016,10.12914278,57.23277045
Intervention,Normal,96.93648063,9.330953741,59.71242925
Control,Dyslexia,79.94310163,3.993446453,34.83177866
Control,Normal,93.88602814,7.682618297,53.15490496
Intervention,Normal,102.98911,17.92432054,61.44394516
Intervention,Normal,115.8753558,15.23109164,59.1257006
Intervention,Dyslexia,91.88835538,14.23201333,48.36516209
Control,Normal,93.92962387,11.10975594,48.56847829
Intervention,Dyslexia,98.3586009,13.43374727,56.48581172
Control,Normal,103.7101926,10.79322074,61.10577908
Intervention,Normal,103.5502459,9.899736263,54.49340471
Control,Dyslexia,70.61758578,4.701187988,26.48557138
Control,Normal,112.3379423,6.948394769,56.62325583
Control,Normal,75.70586938,2.421623103,36.19015066
Control,Normal,108.6250158,14.40616737,59.38633755
Intervention,Dyslexia,70.8566269,10.45318416,41.72052863
Intervention,Dyslexia,86.63407325,5.852095443,36.64082096
Intervention,Dyslexia,105.4284581,12.17334977,55.00886951
Control,Normal,92.82552807,7.054589967,32.07326051
Intervention,Normal,121.1126236,19.24077989,72.65485997
Intervention,Normal,107.6218149,16.70210023,64.42500498
Control,Normal,105.4125799,13.0653269,51.8735623
Intervention,Dyslexia,68.92745619,11.7734029,46.98279825
Intervention,Normal,109.1832392,7.106978263,51.26085115
Control,Normal,97.93373117,14.38405684,46.88337521
Intervention,Normal,92.1989462,17.19182038,54.8378466
Control,Normal,102.6808801,8.800783248,56.268897
Control,Dyslexia,96.10638246,6.091357536,44.27701684
Intervention,Normal,108.7213471,14.68149561,54.75099241
Intervention,Normal,71.00099018,9.122772653,49.58179013
Intervention,Dyslexia,94.02179359,5.988935937,42.01606707
Intervention,Dyslexia,86.03766654,9.243545809,51.46588109
Control,Dyslexia,60.65594672,4.03648986,26.70838491
Intervention,Normal,81.94966953,12.59738173,47.24137151
Intervention,Normal,106.8839087,10.06975347,64.27212101
Intervention,Dyslexia,62.00712443,8.376196309,35.20538866
Intervention,Normal,110.2636519,9.998040205,64.09477206
Control,Dyslexia,71.66638514,5.025684822,42.29534184
Control,Dyslexia,91.476873,9.501426561,40.23786617
Control,Normal,93.03549889,7.966468689,38.37612177
Control,Normal,99.33714183,9.821846718,45.49761815
Intervention,Dyslexia,73.78527822,11.73587234,39.20268386
Intervention,Dyslexia,106.7529624,10.47523197,50.74522685
Control,Dyslexia,93.07298619,12.27615972,51.90594771
Intervention,Normal,107.6248023,14.76342656,66.93618226
Intervention,Normal,106.2393272,16.11616799,59.71952233
Intervention,Dyslexia,72.67565166,9.250622752,31.7216163
Control,Dyslexia,83.97151233,4.802731327,37.98459222
Control,Normal,102.8888799,7.124815522,40.62530919
Intervention,Normal,101.7748153,10.77726078,62.5271934
Control,Normal,83.86505188,4.565641671,39.78854175
Intervention,Dyslexia,102.5997356,12.71090079,44.68343075
Control,Normal,78.06814557,8.425033534,35.04075071
Intervention,Normal,96.53426431,9.050186465,50.98379654
Intervention,Dyslexia,93.47048166,12.14209055,48.88665356
Intervention,Dyslexia,68.08168714,9.988395813,37.96702534
Control,Dyslexia,91.86048564,9.532273863,40.45986007
Control,Normal,121.0028978,11.89546704,48.9125771
Control,Normal,94.43956168,5.916569361,38.83218415
Intervention,Dyslexia,92.76249891,11.51986934,51.83161339
Control,Normal,117.8455408,12.39059533,54.98164726
Intervention,Normal,98.79680506,12.91064277,48.95240889
Control,Dyslexia,71.55030505,5.374148011,43.1157885
Intervention,Normal,108.8027836,8.200810951,60.82051186
Control,Normal,89.85105032,10.51856508,54.42773089
Control,Normal,90.40718201,10.60350698,45.8446198
Intervention,Dyslexia,103.8571574,13.21075521,53.56268917
Control,Dyslexia,53.78050538,3.60503328,20.71250069
Intervention,Dyslexia,83.75295583,8.741416889,41.45369486
Control,Dyslexia,71.93350647,5.636269304,29.26848563
Intervention,Normal,92.09875592,9.534617739,54.53246783
Intervention,Dyslexia,97.51786553,7.449582317,33.65979299
Control,Dyslexia,76.72042531,5.49905421,41.75082924
Control,Dyslexia,83.58740351,10.61077116,50.25881354
Intervention,Normal,93.50502126,4.791666665,47.39525741
Control,Dyslexia,83.49540201,7.952780087,40.587534
Control,Dyslexia,70.32681332,6.301167645,40.9196802
Control,Normal,134.6689815,16.61883195,73.67221875
Control,Normal,92.21816268,6.900155403,46.54206224
Intervention,Normal,105.5745075,13.73233328,44.389592
Intervention,Normal,95.08302952,7.675097542,59.96433565
Intervention,Dyslexia,109.0536262,14.61741083,51.98446968
Control,Normal,77.14105384,6.134882506,34.50851132
Intervention,Dyslexia,105.4379706,8.305364534,53.01297329
Control,Normal,94.32111574,5.637471074,45.94893067
Intervention,Dyslexia,107.5202429,14.54720809,39.99013769
Control,Dyslexia,67.71591044,5.301927168,43.13664891
Control,Dyslexia,76.9895875,7.980193881,43.98382229
Intervention,Normal,92.40846433,12.14412107,55.64507222
Intervention,Dyslexia,85.94405623,13.19573459,42.29965997
Intervention,Normal,97.72826542,8.474287614,51.04526554
Intervention,Dyslexia,74.87200218,10.86317905,52.23216883
Intervention,Dyslexia,71.06180936,6.222740177,39.75173541
Control,Dyslexia,57.27413181,4.455264924,31.17746304
Control,Dyslexia,69.55992736,7.298271683,42.61384511
Intervention,Dyslexia,88.98642196,8.983059565,43.05900007
Control,Normal,79.99034595,7.352446202,45.40560117
Control,Normal,106.817311,9.514573442,58.07533614
Intervention,Dyslexia,97.62866884,9.855089537,39.32193536
Intervention,Normal,89.57419048,11.8655677,55.44944442
Intervention,Dyslexia,92.49089371,13.57771486,47.06254819
Control,Normal,85.95273983,11.60755362,41.49612455
Intervention,Normal,101.428009,12.84030789,54.90289818
Control,Normal,101.3113146,9.165548595,42.8976905
Intervention,Normal,94.00903035,9.706800518,57.68775385
Control,Normal,107.7139948,4.693163208,41.44344549
Intervention,Normal,100.5988773,13.54985328,51.32853316
Intervention,Dyslexia,83.04915884,8.92475999,33.99930539
Control,Dyslexia,89.47781795,5.048710997,48.97040128
Control,Normal,108.2662117,6.355102713,43.12865266
Intervention,Normal,106.8396534,12.5930919,56.26706205
Intervention,Dyslexia,77.69211997,9.390558486,41.36559513
Intervention,Dyslexia,87.87998896,13.07658298,43.20249747
Intervention,Dyslexia,76.83939445,7.548757191,39.96096701
Intervention,Dyslexia,84.66497973,11.69249952,54.047325
Intervention,Normal,115.3270299,13.55099152,57.68095028
Control,Dyslexia,58.89327106,3.01751216,25.9578015
Control,Dyslexia,76.67243826,11.94263122,31.37478033
Control,Normal,84.99795065,8.031675041,43.48908012
Control,Normal,95.34423146,7.647841339,53.86595065
Control,Normal,100.1288802,5.717155752,46.96208199
Intervention,Dyslexia,85.0770331,10.81810704,35.39166481
Intervention,Dyslexia,105.9036369,6.860496594,48.36281039
Control,Normal,87.21444559,6.39672983,41.32492783
Intervention,Dyslexia,77.75421845,6.961944716,36.76472661
Intervention,Dyslexia,66.61504846,6.56213885,26.09750009
Intervention,Normal,106.2624387,9.700106279,49.09606456
Control,Dyslexia,64.93150734,1.300269213,23.28177397
Control,Dyslexia,83.40125939,6.913617601,35.52197059
Control,Dyslexia,107.3585842,11.60160313,54.3476532
Intervention,Dyslexia,100.8205676,9.816456036,46.05744795
Control,Dyslexia,91.68344887,14.66146573,50.85479891
Intervention,Dyslexia,109.0742404,13.58702596,63.71259322
Intervention,Dyslexia,70.83266512,8.55056979,37.99295614
Intervention,Normal,110.2574265,12.33418265,60.22827238
Control,Dyslexia,93.364307,8.254800552,36.70448067
Intervention,Dyslexia,93.92670696,6.923345326,37.92080016
Intervention,Normal,95.12448934,9.115323373,58.49916027
Control,Normal,96.66186132,9.375151453,53.17525386
Intervention,Dyslexia,69.0800345,9.873815652,42.01357224
Control,Dyslexia,85.70219605,12.58439774,52.52210273
Intervention,Normal,115.3744712,17.14991189,68.83193802
Intervention,Normal,93.99819413,10.92649906,59.82306269
Intervention,Dyslexia,95.99982256,10.19510155,51.71952386
Intervention,Dyslexia,78.80742712,6.690655327,39.69453439
Intervention,Dyslexia,95.33482167,10.61109005,51.41090636
Control,Dyslexia,81.12690392,6.848912478,35.9976763
Control,Dyslexia,77.25991661,5.383197008,27.94582557
Intervention,Normal,106.0580633,11.20682634,52.93075341
Intervention,Normal,103.1164065,11.21127243,62.87222195
Intervention,Dyslexia,83.66118353,11.11539058,47.11204307
Intervention,Normal,97.98519277,14.0537265,48.99013035
Control,Dyslexia,95.20495544,9.022122087,46.57202408
Control,Normal,81.0929312,4.949487301,54.65921524
Intervention,Normal,105.5371254,13.59792508,60.98537068
Control,Normal,101.6843293,6.122034661,47.63435504
Control,Normal,100.6492499,12.7009996,41.94628545
Control,Normal,66.61367901,3.464084536,31.68066436
Control,Normal,106.8314157,7.678801469,40.72619333
Control,Dyslexia,82.55230219,9.429107216,40.83104754
Intervention,Normal,110.0762804,13.82394885,53.59279676
Control,Normal,106.46825,9.261123435,61.60794749
Intervention,Dyslexia,79.83952736,11.7059904,42.73472522
Intervention,Normal,92.73919769,11.20083355,56.71770891
Intervention,Dyslexia,84.44558073,10.06278467,42.77364076
Control,Dyslexia,90.41610852,15.40249004,49.45845383
Intervention,Normal,100.8866737,10.94139048,63.2962548
Control,Normal,105.5188137,10.81760597,47.99515207
Intervention,Dyslexia,107.7605207,11.82336055,46.9813961
Control,Normal,90.00758208,12.42864554,51.80220141
Control,Normal,117.7063249,13.20183236,46.12805551
Intervention,Dyslexia,96.22358935,8.202805441,47.58534494
Intervention,Dyslexia,82.76999092,9.548396121,45.57145941
Intervention,Dyslexia,97.01037644,11.60568817,45.57778115
Control,Dyslexia,78.47136431,10.33764519,50.77465061
Intervention,Normal,113.2450501,12.27252782,53.95098467
Control,Dyslexia,91.15073522,7.071431388,45.93437241
Control,Normal,99.90329842,7.000858253,42.20057086
Intervention,Normal,99.06298875,11.91078585,64.07933815
Control,Normal,98.59864937,8.673453109,43.86040686
Control,Normal,110.8688839,10.76028989,48.68365337
Control,Normal,101.4377445,7.291836416,46.78341708
Intervention,Normal,93.29205335,8.319935151,48.86152756
Intervention,Normal,106.0179231,10.56465368,43.90876357
Control,Normal,93.25431592,10.79187338,51.40608237
Control,Normal,80.68582914,8.286690822,40.66721088
Control,Dyslexia,77.17043502,5.982017834,42.89187517
Control,Normal,91.89683527,8.47659719,48.57122178
Intervention,Normal,120.2188944,11.48508681,50.51711973
Control,Dyslexia,91.14020045,11.83712723,49.84559565
Intervention,Normal,88.24296951,8.319902315,46.04819419
Control,Normal,84.76094048,10.24516518,47.85146604
Intervention,Normal,92.2530072,14.1293394,51.80233454
Intervention,Normal,84.09177725,6.064430534,42.56172477
Control,Normal,106.9734308,8.365039176,60.46136136
Control,Normal,108.85522,14.21338496,60.83474101
Control,Normal,84.95087679,7.349834043,43.31763881
Control,Normal,100.6180597,12.48297614,57.1912549
Control,Dyslexia,86.41795068,8.757976515,41.47594178
Intervention,Dyslexia,81.30233128,11.11477672,60.25383223
Control,Normal,133.8931193,15.00657479,71.04967974
Intervention,Normal,101.790627,11.90915416,47.87904637
Control,Dyslexia,87.0842431,9.665967926,43.66475504
Intervention,Normal,79.52312313,10.05352459,42.51758322
Control,Dyslexia,76.24387192,7.033887503,44.73517059
Control,Dyslexia,99.56026639,11.08733088,43.18962966
Control,Dyslexia,77.32368196,10.06059338,38.5059069
Intervention,Normal,90.23353921,6.622233826,42.13506334
Intervention,Normal,108.1806978,12.15993083,57.67778167
Intervention,Dyslexia,89.25474523,12.61129464,51.56829421
Intervention,Normal,83.76740789,9.479312474,46.2419621
Control,Dyslexia,90.56357025,13.01665787,52.09089959
Intervention,Dyslexia,68.33437218,7.656284083,32.71660176
Control,Normal,110.5398871,11.4153794,49.46212703
Intervention,Normal,117.8171345,9.927194576,64.70967644
Intervention,Dyslexia,83.59867952,14.92340019,51.31113171
Control,Normal,89.84476106,9.775707895,51.89915256
Control,Dyslexia,82.20812435,10.02681112,35.77926197
Intervention,Dyslexia,90.11935136,9.785557892,42.67490771
Control,Dyslexia,104.8789452,7.587257437,46.41286741
Intervention,Normal,93.23613852,10.90990701,41.93168247
Intervention,Normal,108.5794969,10.89545939,57.64037673
Intervention,Normal,107.1382724,10.64627271,51.75214865
Intervention,Dyslexia,103.8134319,9.288336744,53.78463139
Control,Dyslexia,74.83967651,10.6066665,36.19403206
Intervention,Normal,97.02444502,7.890934601,43.79438418
Control,Normal,112.281664,13.85932764,57.24709612
Intervention,Normal,118.5804328,11.38626543,60.14304949
Control,Normal,70.53333491,3.66603388,28.70622647
Control,Dyslexia,80.81970865,12.0725069,39.96299185
Control,Dyslexia,77.34622546,7.14606286,34.43639111
Control,Dyslexia,85.77034214,12.50592487,45.38732896
Control,Dyslexia,97.05456341,4.755263828,44.41955987
Intervention,Normal,104.7434312,16.85829651,63.31154249
Control,Normal,105.9781981,9.211544369,57.88246778
Intervention,Dyslexia,86.14022508,7.351297303,36.62769928
Intervention,Normal,93.72512342,7.645208986,36.50714907
Control,Normal,97.03304924,10.00006011,50.14381243
Intervention,Dyslexia,67.78643089,4.254189869,34.23703935
Intervention,Dyslexia,92.66209691,9.612858901,45.79168795
Control,Dyslexia,79.53146251,8.280421097,41.01334313
Intervention,Normal,98.13409906,12.1660925,40.56654382
Control,Dyslexia,74.72734941,8.379686941,46.8772079
Intervention,Dyslexia,85.70239621,7.48124426,44.12965242
Intervention,Dyslexia,98.5394791,14.73626916,49.93248962
Control,Dyslexia,96.64098392,7.831855492,44.11643959
Intervention,Normal,98.51302579,11.39187748,63.48232767
Control,Dyslexia,62.20252699,8.293359059,40.30296047
Intervention,Dyslexia,79.78091733,9.229140839,45.04768285
Control,Dyslexia,73.53613497,6.123723586,45.34327608
Control,Normal,89.32418996,7.433080559,41.66336513
Control,Normal,92.9387376,10.97024323,47.98666433
Control,Dyslexia,84.26220124,4.609566686,21.51625106
Control,Normal,89.91702888,13.51286277,54.97121698
Intervention,Normal,121.0590171,13.22699405,70.02930935
Control,Dyslexia,67.1440672,9.342099305,33.27921979
Intervention,Dyslexia,80.44937652,9.345880108,34.48208112
Intervention,Normal,109.7322595,12.62518431,58.04469653
Intervention,Normal,115.1847779,13.09338518,71.39480333
Control,Normal,110.3171548,3.978019182,49.88645585
Intervention,Dyslexia,78.75032431,9.62932367,39.89418582
Control,Dyslexia,97.19369369,10.49979867,54.67652732
Intervention,Normal,103.7482566,12.96301802,58.42047108
Intervention,Normal,110.8707168,12.9955646,56.41876893
Intervention,Dyslexia,98.32405854,10.92492903,60.11054813
Intervention,Normal,85.40075123,8.564304989,38.41062895
Control,Normal,90.28795601,9.019704932,40.6554333
Control,Normal,90.73216111,9.733746253,48.86374761
Control,Dyslexia,89.66453129,7.795477189,43.90963575
Control,Dyslexia,78.58796146,7.264916104,52.03324953
Intervention,Dyslexia,83.49812831,9.011158493,52.07211849
Intervention,Normal,93.95860282,10.03207162,49.14458182
Intervention,Dyslexia,84.19434102,8.918645052,41.10997857
Intervention,Normal,79.68013606,12.18889422,42.72264014
Intervention,Dyslexia,63.83300459,4.506250272,31.76963309
Control,Normal,116.1798682,10.90117707,48.33697065
Intervention,Normal,114.9495543,12.34574682,57.52342117
Control,Normal,87.13386217,6.590164164,47.97423748
Intervention,Normal,87.70517591,9.574427762,49.75909505
Intervention,Normal,94.98234905,13.21937464,44.48218561
Intervention,Dyslexia,85.20298013,6.892333224,46.10556806
Intervention,Dyslexia,88.15128443,8.391401289,48.06793679
Control,Normal,95.07094627,10.57669433,60.61873163
Control,Dyslexia,103.5804094,16.05402878,50.85401331
Control,Normal,84.84846223,7.060983924,37.69073391
Control,Dyslexia,61.77576961,7.886161313,32.37666174
Control,Normal,84.72262897,6.311588756,39.48220455
Control,Dyslexia,98.43353599,16.40459267,42.21966908
Intervention,Normal,106.9897983,10.96998551,55.06156733
Intervention,Normal,93.44618207,8.119870914,52.74051781
Control,Dyslexia,86.65058642,7.868098341,43.52942533
Intervention,Dyslexia,74.50631788,5.095931608,33.33672107
Intervention,Dyslexia,99.06032323,10.23796227,58.13424171
Control,Normal,102.6902676,6.799187568,49.14800688
Intervention,Dyslexia,110.9609628,6.616294892,50.88230751
Control,Dyslexia,63.41273009,11.53668954,34.42836376
Control,Dyslexia,66.30131946,6.849709369,34.51075224
Control,Normal,98.64084138,2.469610684,39.10306616
Intervention,Normal,81.59724067,11.53720227,53.58033214
Control,Normal,76.90793758,6.763324732,29.71344852
Control,Normal,105.204906,12.79129448,49.36158564
Control,Dyslexia,75.88895261,9.25007055,40.83219049
Control,Dyslexia,103.8590324,13.98673259,61.52514254
Intervention,Normal,87.12305785,12.12071407,55.46789765
Control,Dyslexia,73.13606112,1.094495356,33.16975483
Control,Dyslexia,76.05785829,11.94309498,39.99241111
Control,Normal,93.2053906,8.051042445,46.95208403
Control,Normal,94.85037467,11.67949128,53.65042129
Intervention,Normal,99.74289106,12.93931757,58.92431556
Intervention,Normal,92.70098815,12.49133922,58.26838939
Control,Dyslexia,84.05010007,9.170611016,38.41313733
Control,Dyslexia,75.4964522,6.646207472,38.69505103
Intervention,Normal,98.14977349,13.12296203,59.87012102
Intervention,Dyslexia,87.02218686,13.60049477,37.68403246
Control,Normal,112.8132566,13.11404007,45.87914897
Control,Dyslexia,63.502919,2.89409851,41.20604922
Control,Normal,99.89456824,5.415533171,47.11583837
Control,Dyslexia,73.35712536,7.279652923,36.62708228
Control,Normal,99.68505352,15.9584642,57.00795857
Intervention,Dyslexia,98.22864678,7.738087765,30.94633768
Intervention,Normal,111.3671253,11.46913931,68.58891473
Control,Normal,68.23399262,9.980362509,50.94195936
Intervention,Normal,104.6228666,8.053654514,54.50266475
Intervention,Dyslexia,91.68565364,15.59364388,48.22024011
Intervention,Normal,98.04517639,10.14393339,54.87501167
Control,Normal,103.4800833,14.66009942,54.98210551
Intervention,Dyslexia,84.12116932,9.080874627,52.17638146
Intervention,Dyslexia,74.08125877,8.732882441,45.0494012
Intervention,Dyslexia,90.31031535,4.425112111,47.71086327
Intervention,Normal,102.1517772,17.10426959,67.10437748
Control,Normal,123.2726135,9.842278423,54.78788791
Control,Normal,78.71548832,7.481123809,39.34996197
Control,Normal,74.48717503,6.054878173,38.79600556
Control,Normal,96.3728128,11.96390731,51.12703418
Control,Normal,104.1790854,10.47699402,53.62327615
Control,Dyslexia,90.77827325,14.31601684,46.34503397
Control,Dyslexia,78.68043109,6.666465939,30.35920175
Intervention,Dyslexia,92.57459407,8.447096515,52.53312972
Control,Normal,88.99655822,7.264307151,52.09578279
Control,Dyslexia,97.03827728,14.53336196,57.28687292
Control,Normal,104.9273786,11.92886236,55.48233816
Intervention,Normal,95.61944962,9.093530122,53.48329231
Intervention,Dyslexia,88.37263568,8.786460612,53.35801897
Control,Normal,75.40712836,7.487367575,39.65161176
Control,Normal,90.16576801,9.130434103,41.55017122
Control,Normal,119.5609055,8.770146107,62.4253167
Control,Dyslexia,93.6790177,14.87146614,52.07331894
Control,Normal,113.7071006,15.66976448,51.4051549
Control,Dyslexia,79.31991519,9.801650729,43.1922328
Control,Normal,114.6130401,8.395558184,46.17948751
Control,Normal,117.9268595,11.8815742,57.69809677
Intervention,Normal,111.0897015,11.03342501,60.32507475
Intervention,Normal,91.31554486,11.31467716,56.91592943
Intervention,Dyslexia,85.80580207,10.41388849,54.2634848
Control,Dyslexia,73.90346055,7.849851154,36.41202522
Control,Dyslexia,60.01569896,6.368597278,24.27556599
Control,Normal,98.25753749,9.93603359,42.37261268
Control,Dyslexia,85.72214714,7.13368296,46.66912106
Intervention,Dyslexia,91.19130119,12.60295968,43.90170963
Intervention,Dyslexia,104.3863751,12.61140755,63.90310954
Intervention,Normal,100.7882937,9.87859164,63.83346201
Control,Normal,98.1265562,11.23640152,51.51486427
Intervention,Normal,100.9318469,10.69826474,58.38087514
Intervention,Dyslexia,99.90464862,11.87286245,60.28050781
Control,Normal,99.48001304,11.43779949,48.71800561
Intervention,Normal,92.34054573,11.04191509,50.32099092
Intervention,Dyslexia,100.5432876,14.39004483,37.48234219
Intervention,Dyslexia,73.75614884,11.23839891,39.04930849
Control,Dyslexia,96.16286475,11.75481627,43.6808913
Intervention,Normal,77.33547089,11.69042015,48.10333382
Control,Normal,94.41092343,11.09015127,53.27323313
Intervention,Dyslexia,71.90959062,4.876038121,29.09958169
Intervention,Dyslexia,78.5822545,7.690272439,42.06902476
Control,Normal,88.149824,10.01709214,54.26367326
Control,Normal,114.4241962,10.42305754,51.62337111
Intervention,Dyslexia,91.94949723,10.65919913,43.47846271
Intervention,Normal,93.72389826,14.37641346,56.93008623
Intervention,Normal,88.44686757,8.538513574,32.31442819
Control,Dyslexia,74.03992548,6.781074086,48.68294039
Intervention,Dyslexia,86.78828922,9.105799029,50.42893175
Control,Normal,112.2971166,12.79411675,69.465069
Control,Normal,123.4744639,13.2947841,53.79959257
Intervention,Normal,95.39863479,8.06021766,39.46405789
Control,Normal,98.53783544,9.14348146,50.947623
Control,Normal,104.280438,12.61550977,46.22306839
Control,Dyslexia,79.15417477,8.731741383,37.48028524
Control,Normal,85.25561471,7.352439372,42.91798097
Intervention,Normal,95.32388526,8.762686024,48.91235116
Intervention,Dyslexia,83.45940543,7.846951115,32.27492036
Intervention,Normal,118.1890056,12.92360253,63.37047048
Intervention,Dyslexia,80.55743804,7.689120739,43.12314845
Control,Normal,125.4586711,13.58990789,65.26854011
Control,Normal,86.11116528,6.470249888,41.12370315
Intervention,Dyslexia,105.9752478,9.283086128,44.33336458
Intervention,Normal,99.29651877,11.76520179,58.89299322
Intervention,Normal,112.5035141,9.839276216,53.83061223
Control,Normal,106.5459068,10.27338724,39.20482176
Intervention,Dyslexia,91.13523602,8.769439964,50.66789773
Control,Dyslexia,67.31962946,6.074996271,34.67600638
Control,Normal,103.9991718,13.41315438,51.62068362
Control,Dyslexia,62.20652521,0.796498329,29.66848
Control,Normal,117.7048466,7.340823173,47.16398291
Control,Normal,91.45438284,7.194271039,38.76235235
Control,Normal,92.38173802,6.625173744,41.30526229
Intervention,Dyslexia,67.40470951,5.89482444,35.14550468
Control,Normal,102.7475976,9.779575522,62.75252289
Control,Dyslexia,70.94922602,8.359172221,35.35842442
Control,Normal,97.47533959,2.851235279,47.32722388
Intervention,Normal,100.0200695,6.714048166,33.10286928
Intervention,Normal,98.39716839,10.42544893,55.23922941
Intervention,Normal,97.28952723,10.14145975,40.12208224
Intervention,Dyslexia,76.20752809,8.518960955,53.03037476
Intervention,Normal,112.620567,13.19225667,66.54014934
Control,Normal,103.7566083,14.0020676,50.86123357
Intervention,Normal,110.6277639,16.08822299,65.0289869
Control,Dyslexia,81.10060391,7.079148248,38.90472448
Control,Normal,88.96605273,5.164481413,39.46524188
Control,Dyslexia,78.24899438,4.243575848,42.51134117
Intervention,Dyslexia,106.6328261,9.067711496,53.88595532
Intervention,Dyslexia,95.98973135,9.736810766,48.68528254
Intervention,Normal,112.497344,15.22511495,62.71749217
Control,Dyslexia,89.66273926,8.471293968,40.00835837
Control,Normal,105.9098483,12.53600437,52.75463636
Intervention,Dyslexia,77.59955859,8.848454952,47.81691939
Control,Dyslexia,89.75411793,4.219485504,38.28005121
Control,Dyslexia,76.45101976,8.334098671,31.83003073
Control,Normal,127.4563289,14.10064984,65.55587029
Intervention,Normal,97.37630509,10.77012596,57.7778259
Control,Normal,115.0850215,12.80425377,51.32444767
Intervention,Dyslexia,90.38386018,11.42154486,45.39867955
Intervention,Dyslexia,101.1667176,14.50696759,48.18593152
Control,Normal,112.8956638,7.834620002,48.03932112
Control,Normal,117.5516604,9.570261263,50.44490996
Intervention,Dyslexia,104.0304761,16.34798805,56.80483427
Control,Normal,74.25673459,11.1438752,47.29200178
Control,Normal,101.716063,10.39773425,40.41333632
Intervention,Dyslexia,84.28292769,11.19294577,37.05158672
Intervention,Dyslexia,67.25270655,7.76489127,38.95277552
Control,Normal,93.23482029,8.154855335,46.39566921
Control,Normal,102.0475688,6.712063216,47.46670314
Control,Dyslexia,86.43583685,8.174882089,43.22933549
Intervention,Normal,85.42189996,5.811434788,36.12641729
Intervention,Dyslexia,88.53029016,9.671894478,48.58954613
Control,Normal,96.48259535,14.46667047,53.94406719
Intervention,Normal,100.2231328,8.368056625,51.89657384
Control,Dyslexia,64.43301417,5.689298121,37.38241288
Control,Normal,119.4531825,11.97063653,64.427398
Intervention,Dyslexia,107.5698475,14.0448408,51.29532834
Intervention,Dyslexia,98.1006874,6.312043641,47.44860333
Intervention,Normal,93.53041246,7.712832153,57.73120209
Intervention,Normal,102.3744678,9.718809651,55.00451596
Intervention,Dyslexia,78.29867744,4.805180634,46.10614512
Intervention,Normal,92.52020493,6.576754428,46.89094849
Control,Dyslexia,91.72970594,9.265938172,53.35959063
Intervention,Dyslexia,88.22733602,14.29730922,49.03983419
Control,Normal,88.59110225,4.517549886,42.4433158
Intervention,Dyslexia,100.7557653,11.22882951,47.22113164
Intervention,Normal,86.47076605,14.85172572,48.26582651
